Feature,Split,Gain,Cover,Frequency,RealCover,RealCover %,LongName
D_2768_LAST_EXP_DT,16.5,0.051211015907221734,0.02312668383453241,4.286326618088298e-4,NA,NA,HYPOPOTASSEMIA
D_2768_LAST_EXP_DT,41.5,0.04669779945212501,0.03913674131785643,0.0012858979854264896,NA,NA,HYPOPOTASSEMIA
S_S44_LAST_EXP_,0.5,0.024549583734380452,0.07294196583036883,0.005572224603514788,NA,NA,NEUROLOGY
D_2768_LAST_EXP_DT,259.5,0.02295643679058755,0.025942842798282868,8.572653236176596e-4,NA,NA,HYPOPOTASSEMIA
G_797000_LAST_EXP_DT,2120.5,0.021781968263603717,0.012553893156121564,0.0017145306472353193,NA,NA,POTASSIUM***
P_99214_LAST_EXP_DT,0.5,0.01683937580450841,0.008027068081376943,0.006000857265323617,NA,NA,"OFFICE OR OTHER OUTPATIENT VISIT FOR THE EVALUATION AND MANAGEMENT OF AN ESTABLISHED PATIENT, WHICH REQUIRES AT LEAST 2 OF THESE 3 KEY COMPONENTS: A DETAILED HISTORY; A DETAILED EXAMINATION; MEDICAL DECISION MAKING OF MODERATE COMPLEXITY. COUNSELING AND/OR COORDINATION OF CARE WITH OTHER PHYSICIANS, OTHER QUALIFIED HEALTH CARE PROFESSIONALS, OR AGENCIES ARE PROVIDED CONSISTENT WITH THE NATURE OF THE PROBLEM(S) AND THE PATIENT'S AND/OR FAMILY'S NEEDS. USUALLY, THE PRESENTING PROBLEM(S) ARE OF MODERATE TO HIGH SEVERITY. TYPICALLY, 25 MINUTES ARE SPENT FACE-TO-FACE WITH THE PATIENT AND/OR FAMILY."
G_371000_LAST_EXP_DT,140.5,0.013463726873926222,0.02323843378467843,8.572653236176596e-4,NA,NA,CARBONIC ANHYDRASE INHIBITORS***
D_3449_AVG_CLAIM_CNT,0.15,0.013076644254204205,0.04762093101471951,0.0030004286326618087,65,0.065,(blank)
G_797000_AVG_CLAIM_CNT,0.25,0.012770868856009216,0.012987700226546122,0.0021431633090441492,467,0.467,POTASSIUM***
G_371000_AVG_CLAIM_CNT,0.75,0.008876093143218253,0.021464470466047842,0.0012858979854264896,150,0.15,CARBONIC ANHYDRASE INHIBITORS***
D_2768_LAST_EXP_DT,568.5,0.00822283617719561,0.009030017762168191,4.286326618088298e-4,NA,NA,HYPOPOTASSEMIA
S_S44_FIRST_EXP,0.5,0.0082086647435361,0.02338843254910043,0.0017145306472353193,NA,NA,NEUROLOGY
P_99205_LAST_EXP_DT,0.5,0.007925871287612388,0.010352274573797858,0.0038576939562794685,NA,NA,"OFFICE OR OTHER OUTPATIENT VISIT FOR THE EVALUATION AND MANAGEMENT OF A NEW PATIENT, WHICH REQUIRES THESE 3 KEY COMPONENTS: A COMPREHENSIVE HISTORY; A COMPREHENSIVE EXAMINATION; MEDICAL DECISION MAKING OF HIGH COMPLEXITY. COUNSELING AND/OR COORDINATION OF CARE WITH OTHER PHYSICIANS, OTHER QUALIFIED HEALTH CARE PROFESSIONALS, OR AGENCIES ARE PROVIDED CONSISTENT WITH THE NATURE OF THE PROBLEM(S) AND THE PATIENT'S AND/OR FAMILY'S NEEDS. USUALLY, THE PRESENTING PROBLEM(S) ARE OF MODERATE TO HIGH SEVERITY. TYPICALLY, 60 MINUTES ARE SPENT FACE-TO-FACE WITH THE PATIENT AND/OR FAMILY."
G_371000_LAST_EXP_DT,2078,0.007774260170522775,0.010405941177296863,8.572653236176596e-4,NA,NA,CARBONIC ANHYDRASE INHIBITORS***
