Feature,Split,Gain,Cover,Frequency,RealCover,RealCover %,LongName
D_2768_AVG_CLAIM_CNT,0.05,0.2998017186415128,0.10183061120641286,0.010198604401502952,4432,0.496415770609319,HYPOPOTASSEMIA
G_797000_AVG_CLAIM_CNT,0.05,0.10246637273575952,0.09199775219359393,0.014492753623188406,4966,0.5562275985663082,POTASSIUM***
G_371000_AVG_CLAIM_CNT,0.05,0.057816490073914886,0.06715831979028031,0.01288244766505636,1588,0.1778673835125448,CARBONIC ANHYDRASE INHIBITORS***
S_S37_LAST_EXP_,0.5,0.04244391431152047,0.08939933043888632,0.01932367149758454,NA,NA,INTERNAL MEDICINE
G_797000_FIRST_EXP_DT,5168,0.02593289905081479,0.004890331681176356,0.0021470746108427268,NA,NA,POTASSIUM***
D_2768_LAST_EXP_DT,71.5,0.024978581057538283,0.002690030612493355,5.367686527106817e-4,NA,NA,HYPOPOTASSEMIA
S_S44_LAST_EXP_,0.5,0.024106596398225134,0.0027514672279212427,0.003757380568974772,NA,NA,NEUROLOGY
S_S24_LAST_EXP_,0.5,0.021036213365976022,0.056488224609695034,0.017713365539452495,NA,NA,FAMILY MEDICINE
G_372000_FIRST_EXP_DT,5168,0.01914309516047179,0.006628875663708233,0.0021470746108427268,NA,NA,LOOP DIURETICS***
S_S22_LAST_EXP_,0.5,0.01539540292107599,0.06524300866413418,0.00966183574879227,NA,NA,EMERGENCY MEDICINE
D_2768_LAST_EXP_DT,72.5,0.013689659086694428,0.0024897723311662224,5.367686527106817e-4,NA,NA,HYPOPOTASSEMIA
G_372000_FIRST_EXP_DT,5158,0.012176258307082858,0.0022003155463481304,5.367686527106817e-4,NA,NA,LOOP DIURETICS***
S_S44_AVG_CLAIM,0.05,0.011754366806547898,0.020165360845005906,0.006977992485238862,3120,0.34946236559139787,NEUROLOGY
S_S44_LAST_EXP_,0.5,0.010720464797248763,0.050661527254607056,0.011808910359634998,NA,NA,NEUROLOGY
G_797000_AVG_CLAIM_CNT,0.25,0.00956023949373043,0.020046366051947907,0.0042941492216854536,5006,0.5607078853046595,POTASSIUM***
D_7288_AVG_CLAIM_CNT,0.05,0.008773785796259266,0.01653136085670244,0.00644122383252818,2926,0.32773297491039427,"OTHER DISORDERS OF MUSCLE LIGAMENT, AND FASCIA"
D_2768_LAST_EXP_DT,66.5,0.008616733239300121,0.002136340352771296,5.367686527106817e-4,NA,NA,HYPOPOTASSEMIA
G_034000_AVG_CLAIM_CNT,0.05,0.008253491775229214,0.0036421124353545925,0.001610305958132045,4339,0.48599910394265233,AZITHROMYCIN***
D_7288_FIRST_EXP_DT,7.5,0.007792325054214567,7.433605419513107e-4,5.367686527106817e-4,NA,NA,"OTHER DISORDERS OF MUSCLE LIGAMENT, AND FASCIA"
D_4011_FIRST_EXP_DT,14.5,0.007019539323599063,0.0012935793793012597,5.367686527106817e-4,NA,NA,BENIGN ESSENTIAL HYPERTENSION
P_99213_AVG_CLAIM_CNT,0.05,0.006449949627115675,8.396962126251136e-4,0.0021470746108427268,6140,0.6877240143369175,"OFFICE OR OTHER OUTPATIENT VISIT FOR THE EVALUATION AND MANAGEMENT OF AN ESTABLISHED PATIENT, WHICH REQUIRES AT LEAST 2 OF THESE 3 KEY COMPONENTS: AN EXPANDED PROBLEM FOCUSED HISTORY; AN EXPANDED PROBLEM FOCUSED EXAMINATION; MEDICAL DECISION MAKING OF LOW COMPLEXITY. COUNSELING AND COORDINATION OF CARE WITH OTHER PHYSICIANS, OTHER QUALIFIED HEALTH CARE PROFESSIONALS, OR AGENCIES ARE PROVIDED CONSISTENT WITH THE NATURE OF THE PROBLEM(S) AND THE PATIENT'S AND/OR FAMILY'S NEEDS. USUALLY, THE PRESENTING PROBLEM(S) ARE OF LOW TO MODERATE SEVERITY. TYPICALLY, 15 MINUTES ARE SPENT FACE-TO-FACE WITH THE PATIENT AND/OR FAMILY."
D_4010_FIRST_EXP_DT,5086,0.005328004884049003,0.0021594241855052054,5.367686527106817e-4,NA,NA,MALIGNANT ESSENTIAL HYPERTENSION
S_S21_LAST_EXP_,0.5,0.005144878598582348,0.026699466645782946,0.005367686527106817,NA,NA,DIAGNOSTIC RADIOLOGY
