Feature,Split,Gain,Cover,Frequency,RealCover,RealCover %,LongName
D_2768_AVG_CLAIM_CNT,0.05,0.19165857144021933,0.10059448766740031,0.012841987716359575,1355,0.45166666666666666,HYPOPOTASSEMIA
S_S37_LAST_EXP_,0.5,0.08064236117523838,0.11355547973864881,0.01507537688442211,NA,NA,INTERNAL MEDICINE
G_797000_AVG_CLAIM_CNT,0.05,0.05665925041844232,0.05138578298143651,0.01060859854829704,1450,0.48333333333333334,POTASSIUM***
D_2768_LAST_EXP_DT,57.5,0.046277349235612164,0.0014967351393440956,5.583472920156337e-4,NA,NA,HYPOPOTASSEMIA
S_S24_LAST_EXP_,0.5,0.04565688527123279,0.09353527167448365,0.01507537688442211,NA,NA,FAMILY MEDICINE
S_S44_LAST_EXP_,0.5,0.02856883426312831,0.08974509225731178,0.010050251256281407,NA,NA,NEUROLOGY
D_2768_LAST_EXP_DT,45.5,0.024911893465558402,0.001395502464531396,5.583472920156337e-4,NA,NA,HYPOPOTASSEMIA
G_797000_FIRST_EXP_DT,5168,0.0224482768104385,0.002961137343458666,0.0011166945840312675,NA,NA,POTASSIUM***
G_371000_AVG_CLAIM_CNT,0.05,0.020712179277755507,0.0468348179316436,0.00893355667225014,489,0.163,CARBONIC ANHYDRASE INHIBITORS***
D_2768_LAST_EXP_DT,13.5,0.015088207854107475,0.0012201261968121757,5.583472920156337e-4,NA,NA,HYPOPOTASSEMIA
S_S44_FIRST_EXP,166,0.01500916355279443,5.850477483158057e-4,5.583472920156337e-4,NA,NA,NEUROLOGY
S_S22_LAST_EXP_,0.5,0.014445161877606602,0.05506935831676444,0.009491903964265773,NA,NA,EMERGENCY MEDICINE
G_797000_AVG_CLAIM_CNT,0.25,0.011963516389307406,0.018346085617270937,0.005583472920156337,1460,0.4866666666666667,POTASSIUM***
S_S44_LAST_EXP_,0.5,0.011555541820311103,0.0010716767606857608,0.0027917364600781687,NA,NA,NEUROLOGY
G_797000_FIRST_EXP_DT,4.5,0.01146092498817471,0.0022355193798558274,0.0011166945840312675,NA,NA,POTASSIUM***
S_S44_AVG_CLAIM,0.05,0.01130916408550547,0.013098478704928954,0.0072585147962032385,936,0.312,NEUROLOGY
G_372000_FIRST_EXP_DT,5168,0.01129106978380742,0.0034448717718355984,0.0016750418760469012,NA,NA,LOOP DIURETICS***
G_371000_AVG_CLAIM_CNT,0.25,0.010370247448482809,0.02483162321175977,0.002233389168062535,468,0.156,CARBONIC ANHYDRASE INHIBITORS***
