Feature,Split,Gain,Cover,Frequency,RealCover,RealCover %,LongName
S_S37_LAST_EXP_,0.5,0.21599018930330807,0.13224142581443615,0.01520387007601935,NA,NA,INTERNAL MEDICINE
S_S24_LAST_EXP_,0.5,0.13010001122645537,0.121079771469435,0.01243953006219765,NA,NA,FAMILY MEDICINE
S_S44_LAST_EXP_,0.5,0.08647340494489822,0.12047587799369278,0.011748445058742226,NA,NA,NEUROLOGY
S_S22_LAST_EXP_,0.5,0.047362445062434595,0.06757178387367914,0.008984105044920525,NA,NA,EMERGENCY MEDICINE
S_S21_LAST_EXP_,0.5,0.024888033393075625,0.05949296605348961,0.006219765031098825,NA,NA,DIAGNOSTIC RADIOLOGY
S_S64_LAST_EXP_,0.5,0.019342961671499466,0.04065837279728747,0.0055286800276434,NA,NA,PEDIATRICS
S_S23_LAST_EXP_,0.5,0.014835860979989167,0.0318116869949277,0.007601935038009675,NA,NA,"ENDOCRINOLOGY, DIABETES & METABOLISM"
D_2768_LAST_EXP_DT,0.5,0.012523776816380758,0.025993564732922924,0.00414651002073255,NA,NA,HYPOPOTASSEMIA
G_797000_AVG_CLAIM_CNT,0.25,0.01167884572477599,0.004878983812810949,0.0048375950241879755,480,0.48,POTASSIUM***
S_S08_LAST_EXP_,0.5,0.011147380838445435,0.035779193432076126,0.0027643400138217,NA,NA,CARDIOVASCULAR DISEASE
D_2768_LAST_EXP_DT,455.5,0.010245597798133462,0.010639134023994865,6.91085003455425e-4,NA,NA,HYPOPOTASSEMIA
S_S42_LAST_EXP_,0.5,0.009654221394180217,0.02888895833189669,0.0034554250172771253,NA,NA,NEPHROLOGY
S_S14_LAST_EXP_,0.5,0.00954967725585407,0.023320109187954477,0.0034554250172771253,NA,NA,CLINICAL NEUROPHYSIOLOGY
D_2768_LAST_EXP_DT,267,0.008751235319843025,0.013624283155325686,6.91085003455425e-4,NA,NA,HYPOPOTASSEMIA
D_2768_LAST_EXP_DT,72.5,0.008654125835485804,0.017282298612616244,6.91085003455425e-4,NA,NA,HYPOPOTASSEMIA
S_S66_LAST_EXP_,0.5,0.008143874227821906,0.01635184839139188,0.0027643400138217,NA,NA,PHYSICAL THERAPY
G_371000_AVG_CLAIM_CNT,0.15,0.007315988513754268,0.00574286646946208,0.00414651002073255,147,0.147,CARBONIC ANHYDRASE INHIBITORS***
D_2768_LAST_EXP_DT,568.5,0.007106524596312225,0.006330498324441783,6.91085003455425e-4,NA,NA,HYPOPOTASSEMIA
D_2768_AVG_CLAIM_CNT,0.15,0.006994947185021845,0.00307164243758594,0.00138217000691085,381,0.381,HYPOPOTASSEMIA
G_797000_LAST_EXP_DT,462.5,0.006899326080439898,0.0048808840102275925,6.91085003455425e-4,NA,NA,POTASSIUM***
G_371000_AVG_CLAIM_CNT,0.25,0.006714073870273543,0.00955975493107294,0.00138217000691085,146,0.146,CARBONIC ANHYDRASE INHIBITORS***
AGE,55.5,0.006654120619649309,7.593329901984599e-4,0.002073255010366275,648,0.648,Age
G_797000_LAST_EXP_DT,392,0.006545857771750625,0.008169596716800023,6.91085003455425e-4,NA,NA,POTASSIUM***
G_371000_AVG_CLAIM_CNT,0.75,0.00640730230967675,0.022001087466454614,0.0048375950241879755,144,0.144,CARBONIC ANHYDRASE INHIBITORS***
G_797000_FIRST_EXP_DT,1812.5,0.006302120991591223,0.003787762077177344,6.91085003455425e-4,NA,NA,POTASSIUM***
G_371000_AVG_CLAIM_CNT,0.35,0.00580854799258552,0.010411988632471648,6.91085003455425e-4,145,0.145,CARBONIC ANHYDRASE INHIBITORS***
S_S67_LAST_EXP_,0.5,0.005263404093562493,0.01408556080717403,0.0027643400138217,NA,NA,PHYSICIAN ASSISTANT
S_S48_LAST_EXP_,0.5,0.0050934136128761125,0.011578640310628508,0.002073255010366275,NA,NA,NURSE PRACTITIONER
G_371000_LAST_EXP_DT,138.5,0.004971042529823293,0.017142827656742056,6.91085003455425e-4,NA,NA,CARBONIC ANHYDRASE INHIBITORS***
G_797000_FIRST_EXP_DT,2182,0.004884183896369296,0.002317922032176559,6.91085003455425e-4,NA,NA,POTASSIUM***
D_4010_LAST_EXP_DT,448.5,0.0046494430586751425,6.39410613860599e-4,0.00138217000691085,NA,NA,MALIGNANT ESSENTIAL HYPERTENSION
D_4010_LAST_EXP_DT,438,0.003910812707258448,1.7918509964340347e-4,6.91085003455425e-4,NA,NA,MALIGNANT ESSENTIAL HYPERTENSION
D_4010_LAST_EXP_DT,436.5,0.0037370881443711634,2.271587125314185e-4,6.91085003455425e-4,NA,NA,MALIGNANT ESSENTIAL HYPERTENSION
G_797000_FIRST_EXP_DT,2318,0.003527226596057785,0.0014909272009844376,6.91085003455425e-4,NA,NA,POTASSIUM***
D_3449_LAST_EXP_DT,853.5,0.0033878369117118284,0.006060326076426337,6.91085003455425e-4,NA,NA,(blank)
D_4010_FIRST_EXP_DT,485.5,0.003216572261202146,0.001898427942721597,0.00414651002073255,NA,NA,MALIGNANT ESSENTIAL HYPERTENSION
D_4019_LAST_EXP_DT,169,0.002979729014115627,4.942937706768241e-4,0.00138217000691085,NA,NA,UNSPECIFIED ESSENTIAL HYPERTENSION
D_3449_AVG_CLAIM_CNT,0.15,0.0029724076448171457,0.0024218583106048928,0.002073255010366275,68,0.068,(blank)
D_4019_LAST_EXP_DT,286.5,0.002897819243414411,6.12216885700379e-4,0.00138217000691085,NA,NA,UNSPECIFIED ESSENTIAL HYPERTENSION
AGE,68.5,0.0028627433122565414,3.0546133047342015e-4,0.002073255010366275,650,0.65,Age
D_4010_FIRST_EXP_DT,928,0.002827418150446107,1.0298826667796267e-4,6.91085003455425e-4,NA,NA,MALIGNANT ESSENTIAL HYPERTENSION
D_7295_LAST_EXP_DT,333.5,0.002668066666761206,0.0017139586211412918,6.91085003455425e-4,NA,NA,PAIN IN LIMB
S_S11_LAST_EXP_,4.5,0.0026649159710643746,0.004631449685764106,0.00138217000691085,NA,NA,CHILD NEUROLOGY
P_90862_LAST_EXP_DT,1385.5,0.0026633887037194838,0.001699682274634482,0.0027643400138217,NA,NA,"PHARMACOLOGIC MANAGEMENT, INCLUDING PRESCRIPTION, USE, AND REVIEW OF MEDICATION WITH NO MORE THAN MINIMAL MEDICAL PSYCHOTHERAPY"
D_7288_LAST_EXP_DT,71.5,0.0026498777903898644,0.0026358944979565915,6.91085003455425e-4,NA,NA,"OTHER DISORDERS OF MUSCLE LIGAMENT, AND FASCIA"
S_S11_LAST_EXP_,0.5,0.002634862665009913,0.007690928488744061,6.91085003455425e-4,NA,NA,CHILD NEUROLOGY
S_S44_LAST_EXP_,24.5,0.0026283857323545204,0.0011504961814263644,0.00138217000691085,NA,NA,NEUROLOGY
P_99213_FIRST_EXP_DT,2037.5,0.002538840281566985,0.0011094557092738463,0.00138217000691085,NA,NA,"OFFICE OR OTHER OUTPATIENT VISIT FOR THE EVALUATION AND MANAGEMENT OF AN ESTABLISHED PATIENT, WHICH REQUIRES AT LEAST 2 OF THESE 3 KEY COMPONENTS: AN EXPANDED PROBLEM FOCUSED HISTORY; AN EXPANDED PROBLEM FOCUSED EXAMINATION; MEDICAL DECISION MAKING OF LOW COMPLEXITY. COUNSELING AND COORDINATION OF CARE WITH OTHER PHYSICIANS, OTHER QUALIFIED HEALTH CARE PROFESSIONALS, OR AGENCIES ARE PROVIDED CONSISTENT WITH THE NATURE OF THE PROBLEM(S) AND THE PATIENT'S AND/OR FAMILY'S NEEDS. USUALLY, THE PRESENTING PROBLEM(S) ARE OF LOW TO MODERATE SEVERITY. TYPICALLY, 15 MINUTES ARE SPENT FACE-TO-FACE WITH THE PATIENT AND/OR FAMILY."
D_4010_LAST_EXP_DT,628.5,0.0023002106869109687,3.089741247396294e-4,6.91085003455425e-4,NA,NA,MALIGNANT ESSENTIAL HYPERTENSION
D_4010_LAST_EXP_DT,652,0.0022802853674684766,3.4504963511848525e-4,6.91085003455425e-4,NA,NA,MALIGNANT ESSENTIAL HYPERTENSION
D_V048_LAST_EXP_DT,481.5,0.002253691522954422,7.6000126077659e-4,0.00138217000691085,NA,NA,(blank)
D_4010_LAST_EXP_DT,440,0.002155458457786458,1.80247894081114e-4,6.91085003455425e-4,NA,NA,MALIGNANT ESSENTIAL HYPERTENSION
G_372000_FIRST_EXP_DT,30,0.002140835856092338,3.5261996407964113e-4,0.00138217000691085,NA,NA,LOOP DIURETICS***
D_V058_AVG_CLAIM_CNT,0.05,0.0021326397718367126,0.0012111047705939083,0.0027643400138217,7,0.007,(blank)
P_99204_LAST_EXP_DT,3.5,0.002082665305047955,0.0010656695553141074,0.002073255010366275,NA,NA,"OFFICE OR OTHER OUTPATIENT VISIT FOR THE EVALUATION AND MANAGEMENT OF A NEW PATIENT, WHICH REQUIRES THESE 3 KEY COMPONENTS: A COMPREHENSIVE HISTORY; A COMPREHENSIVE EXAMINATION; MEDICAL DECISION MAKING OF MODERATE COMPLEXITY. COUNSELING AND/OR COORDINATION OF CARE WITH OTHER PHYSICIANS, OTHER QUALIFIED HEALTH CARE PROFESSIONALS, OR AGENCIES ARE PROVIDED CONSISTENT WITH THE NATURE OF THE PROBLEM(S) AND THE PATIENT'S AND/OR FAMILY'S NEEDS. USUALLY, THE PRESENTING PROBLEM(S) ARE OF MODERATE TO HIGH SEVERITY. TYPICALLY, 45 MINUTES ARE SPENT FACE-TO-FACE WITH THE PATIENT AND/OR FAMILY."
S_S65_LAST_EXP_,0.5,0.002037410972061218,0.0011544962581726001,0.002073255010366275,NA,NA,PHYSICAL MEDICINE & REHABILITATION
S_S11_LAST_EXP_,2.5,0.0019994850125130813,0.001987092573313633,6.91085003455425e-4,NA,NA,CHILD NEUROLOGY
D_4010_FIRST_EXP_DT,484,0.001987337206994316,1.1771197704355417e-4,6.91085003455425e-4,NA,NA,MALIGNANT ESSENTIAL HYPERTENSION
D_7288_LAST_EXP_DT,224.5,0.0019687470517619947,0.0016735071595681025,6.91085003455425e-4,NA,NA,"OTHER DISORDERS OF MUSCLE LIGAMENT, AND FASCIA"
D_7288_AVG_CLAIM_CNT,0.25,0.0019367316379969252,7.785525408322023e-4,0.002073255010366275,307,0.307,"OTHER DISORDERS OF MUSCLE LIGAMENT, AND FASCIA"
P_99214_LAST_EXP_DT,0.5,0.0018839811970076989,8.015601421649664e-4,0.0027643400138217,NA,NA,"OFFICE OR OTHER OUTPATIENT VISIT FOR THE EVALUATION AND MANAGEMENT OF AN ESTABLISHED PATIENT, WHICH REQUIRES AT LEAST 2 OF THESE 3 KEY COMPONENTS: A DETAILED HISTORY; A DETAILED EXAMINATION; MEDICAL DECISION MAKING OF MODERATE COMPLEXITY. COUNSELING AND/OR COORDINATION OF CARE WITH OTHER PHYSICIANS, OTHER QUALIFIED HEALTH CARE PROFESSIONALS, OR AGENCIES ARE PROVIDED CONSISTENT WITH THE NATURE OF THE PROBLEM(S) AND THE PATIENT'S AND/OR FAMILY'S NEEDS. USUALLY, THE PRESENTING PROBLEM(S) ARE OF MODERATE TO HIGH SEVERITY. TYPICALLY, 25 MINUTES ARE SPENT FACE-TO-FACE WITH THE PATIENT AND/OR FAMILY."
S_S44_FIRST_EXP,47.5,0.0018102054217783443,7.523661029088513e-4,6.91085003455425e-4,NA,NA,NEUROLOGY
D_V726_AVG_CLAIM_CNT,0.25,0.0017772119819893769,0.0013104102225376445,0.0034554250172771253,52,0.052,(blank)
AGE,50.5,0.0017654299968722393,6.553980438709469e-5,6.91085003455425e-4,647,0.647,Age
G_659917_FIRST_EXP_DT,1158,0.0017141392624596733,4.2587041204761876e-5,6.91085003455425e-4,NA,NA,HYDROCODONE COMBINATIONS***
D_4010_LAST_EXP_DT,329.5,0.001709610648114029,4.3562916063954814e-4,0.00138217000691085,NA,NA,MALIGNANT ESSENTIAL HYPERTENSION
D_3449_LAST_EXP_DT,798,0.0016972417744227596,0.0012214476453954923,6.91085003455425e-4,NA,NA,(blank)
P_99245_FIRST_EXP_DT,905,0.0016634767118640236,6.522898086238303e-4,0.00138217000691085,NA,NA,"OFFICE CONSULTATION FOR A NEW OR ESTABLISHED PATIENT, WHICH REQUIRES THESE 3 KEY COMPONENTS: A COMPREHENSIVE HISTORY; A COMPREHENSIVE EXAMINATION; AND MEDICAL DECISION MAKING OF HIGH COMPLEXITY. COUNSELING AND/OR COORDINATION OF CARE WITH OTHER PHYSICIANS, OTHER QUALIFIED HEALTH CARE PROFESSIONALS, OR AGENCIES ARE PROVIDED CONSISTENT WITH THE NATURE OF THE PROBLEM(S) AND THE PATIENT'S AND/OR FAMILY'S NEEDS. USUALLY, THE PRESENTING PROBLEM(S) ARE OF MODERATE TO HIGH SEVERITY. TYPICALLY, 80 MINUTES ARE SPENT FACE-TO-FACE WITH THE PATIENT AND/OR FAMILY."
P_36415_LAST_EXP_DT,3.5,0.0016500893194637935,6.906076887166775e-4,0.00138217000691085,NA,NA,COLLECTION OF VENOUS BLOOD BY VENIPUNCTURE
G_797000_LAST_EXP_DT,91.5,0.00160410859877889,0.0016260932510413718,6.91085003455425e-4,NA,NA,POTASSIUM***
P_99215_LAST_EXP_DT,65.5,0.0015879064175683658,8.208021164958486e-4,0.002073255010366275,NA,NA,"OFFICE OR OTHER OUTPATIENT VISIT FOR THE EVALUATION AND MANAGEMENT OF AN ESTABLISHED PATIENT, WHICH REQUIRES AT LEAST 2 OF THESE 3 KEY COMPONENTS: A COMPREHENSIVE HISTORY; A COMPREHENSIVE EXAMINATION; MEDICAL DECISION MAKING OF HIGH COMPLEXITY. COUNSELING AND/OR COORDINATION OF CARE WITH OTHER PHYSICIANS, OTHER QUALIFIED HEALTH CARE PROFESSIONALS, OR AGENCIES ARE PROVIDED CONSISTENT WITH THE NATURE OF THE PROBLEM(S) AND THE PATIENT'S AND/OR FAMILY'S NEEDS. USUALLY, THE PRESENTING PROBLEM(S) ARE OF MODERATE TO HIGH SEVERITY. TYPICALLY, 40 MINUTES ARE SPENT FACE-TO-FACE WITH THE PATIENT AND/OR FAMILY."
P_99245_FIRST_EXP_DT,562,0.0015221747513460139,0.0012162524521967405,6.91085003455425e-4,NA,NA,"OFFICE CONSULTATION FOR A NEW OR ESTABLISHED PATIENT, WHICH REQUIRES THESE 3 KEY COMPONENTS: A COMPREHENSIVE HISTORY; A COMPREHENSIVE EXAMINATION; AND MEDICAL DECISION MAKING OF HIGH COMPLEXITY. COUNSELING AND/OR COORDINATION OF CARE WITH OTHER PHYSICIANS, OTHER QUALIFIED HEALTH CARE PROFESSIONALS, OR AGENCIES ARE PROVIDED CONSISTENT WITH THE NATURE OF THE PROBLEM(S) AND THE PATIENT'S AND/OR FAMILY'S NEEDS. USUALLY, THE PRESENTING PROBLEM(S) ARE OF MODERATE TO HIGH SEVERITY. TYPICALLY, 80 MINUTES ARE SPENT FACE-TO-FACE WITH THE PATIENT AND/OR FAMILY."
D_4019_LAST_EXP_DT,0.5,0.0015096103454097579,7.146870317643276e-4,0.0027643400138217,NA,NA,UNSPECIFIED ESSENTIAL HYPERTENSION
D_7288_LAST_EXP_DT,73.5,0.0014978718443291923,8.122795574650581e-4,6.91085003455425e-4,NA,NA,"OTHER DISORDERS OF MUSCLE LIGAMENT, AND FASCIA"
P_G8553_LAST_EXP_DT,808,0.0014929908341838143,3.19213539710845e-4,6.91085003455425e-4,NA,NA,PRESCRIPTION(S) GENERATED AND TRANSMITTED VIA A QUALIFIED ERX SYSTEM
D_7295_LAST_EXP_DT,443.5,0.001473843995731624,0.0012671837729391902,0.00138217000691085,NA,NA,PAIN IN LIMB
G_371000_LAST_EXP_DT,2069.5,0.0014368567368790094,8.505059666349188e-4,0.002073255010366275,NA,NA,CARBONIC ANHYDRASE INHIBITORS***
G_372000_LAST_EXP_DT,589,0.0013606198819153669,9.8196700027729e-5,6.91085003455425e-4,NA,NA,LOOP DIURETICS***
S_S24_AVG_CLAIM,0.55,0.001358577737311942,8.275691886624282e-5,0.002073255010366275,528,0.528,FAMILY MEDICINE
D_7288_LAST_EXP_DT,486,0.0013483334527900808,2.2495852601006665e-4,6.91085003455425e-4,NA,NA,"OTHER DISORDERS OF MUSCLE LIGAMENT, AND FASCIA"
P_G8553_LAST_EXP_DT,999.5,0.0013251468306047132,8.080901003855517e-4,6.91085003455425e-4,NA,NA,PRESCRIPTION(S) GENERATED AND TRANSMITTED VIA A QUALIFIED ERX SYSTEM
G_797000_FIRST_EXP_DT,2193,0.0012452558573731911,1.2097451396900982e-4,6.91085003455425e-4,NA,NA,POTASSIUM***
D_2768_FIRST_EXP_DT,2317,0.0012156341814535585,4.472040066830072e-4,6.91085003455425e-4,NA,NA,HYPOPOTASSEMIA
D_4019_FIRST_EXP_DT,890.5,0.0011993057798013076,3.777793522706234e-4,6.91085003455425e-4,NA,NA,UNSPECIFIED ESSENTIAL HYPERTENSION
D_7807_LAST_EXP_DT,21.5,0.0011457678837672523,5.533613412122086e-4,6.91085003455425e-4,NA,NA,MALAISE AND FATIGUE
AGE,52.5,0.0011455708923264075,6.43577869259769e-5,6.91085003455425e-4,676,0.676,Age
P_99213_FIRST_EXP_DT,2090,0.0010685545349353623,9.002048721018869e-5,6.91085003455425e-4,NA,NA,"OFFICE OR OTHER OUTPATIENT VISIT FOR THE EVALUATION AND MANAGEMENT OF AN ESTABLISHED PATIENT, WHICH REQUIRES AT LEAST 2 OF THESE 3 KEY COMPONENTS: AN EXPANDED PROBLEM FOCUSED HISTORY; AN EXPANDED PROBLEM FOCUSED EXAMINATION; MEDICAL DECISION MAKING OF LOW COMPLEXITY. COUNSELING AND COORDINATION OF CARE WITH OTHER PHYSICIANS, OTHER QUALIFIED HEALTH CARE PROFESSIONALS, OR AGENCIES ARE PROVIDED CONSISTENT WITH THE NATURE OF THE PROBLEM(S) AND THE PATIENT'S AND/OR FAMILY'S NEEDS. USUALLY, THE PRESENTING PROBLEM(S) ARE OF LOW TO MODERATE SEVERITY. TYPICALLY, 15 MINUTES ARE SPENT FACE-TO-FACE WITH THE PATIENT AND/OR FAMILY."
P_99204_LAST_EXP_DT,0.5,0.0010483519682798297,4.110818727754445e-4,6.91085003455425e-4,NA,NA,"OFFICE OR OTHER OUTPATIENT VISIT FOR THE EVALUATION AND MANAGEMENT OF A NEW PATIENT, WHICH REQUIRES THESE 3 KEY COMPONENTS: A COMPREHENSIVE HISTORY; A COMPREHENSIVE EXAMINATION; MEDICAL DECISION MAKING OF MODERATE COMPLEXITY. COUNSELING AND/OR COORDINATION OF CARE WITH OTHER PHYSICIANS, OTHER QUALIFIED HEALTH CARE PROFESSIONALS, OR AGENCIES ARE PROVIDED CONSISTENT WITH THE NATURE OF THE PROBLEM(S) AND THE PATIENT'S AND/OR FAMILY'S NEEDS. USUALLY, THE PRESENTING PROBLEM(S) ARE OF MODERATE TO HIGH SEVERITY. TYPICALLY, 45 MINUTES ARE SPENT FACE-TO-FACE WITH THE PATIENT AND/OR FAMILY."
D_7194_LAST_EXP_DT,334.5,0.0010470678759246929,3.7935345140648465e-4,6.91085003455425e-4,NA,NA,PAIN IN JOINT
D_7288_FIRST_EXP_DT,0.5,0.0010149544041979585,5.606825673199886e-4,0.0034554250172771253,NA,NA,"OTHER DISORDERS OF MUSCLE LIGAMENT, AND FASCIA"
G_372000_LAST_EXP_DT,611,0.0010131926440786695,1.4860850145030364e-4,6.91085003455425e-4,NA,NA,LOOP DIURETICS***
P_83735_FIRST_EXP_DT,28.5,0.0010097489418535298,5.253605819717551e-4,6.91085003455425e-4,NA,NA,MAGNESIUM
AGE,73.5,0.0010093038871168065,7.631228170319087e-5,6.91085003455425e-4,655,0.655,Age
G_797000_AVG_CLAIM_CNT,0.85,0.0010069763238035351,2.3587626892060485e-4,0.002073255010366275,468,0.468,POTASSIUM***
D_4010_FIRST_EXP_DT,19,9.441070161764521e-4,4.962519588825078e-5,6.91085003455425e-4,NA,NA,MALIGNANT ESSENTIAL HYPERTENSION
S_S08_FIRST_EXP,18.5,9.342574441342097e-4,3.386599915176269e-4,6.91085003455425e-4,NA,NA,CARDIOVASCULAR DISEASE
G_797000_LAST_EXP_DT,123.5,9.207379945088207e-4,3.999432897505987e-4,6.91085003455425e-4,NA,NA,POTASSIUM***
D_7812_AVG_CLAIM_CNT,0.75,9.194903820501367e-4,3.73267970826237e-4,6.91085003455425e-4,102,0.102,ABNORMALITY OF GAIT
D_7883_AVG_CLAIM_CNT,1.05,9.034173396730552e-4,3.5571976268822995e-4,6.91085003455425e-4,67,0.067,URINARY INCONTINENCE
P_99213_FIRST_EXP_DT,2245.5,8.882927746037451e-4,2.1567178514209223e-4,6.91085003455425e-4,NA,NA,"OFFICE OR OTHER OUTPATIENT VISIT FOR THE EVALUATION AND MANAGEMENT OF AN ESTABLISHED PATIENT, WHICH REQUIRES AT LEAST 2 OF THESE 3 KEY COMPONENTS: AN EXPANDED PROBLEM FOCUSED HISTORY; AN EXPANDED PROBLEM FOCUSED EXAMINATION; MEDICAL DECISION MAKING OF LOW COMPLEXITY. COUNSELING AND COORDINATION OF CARE WITH OTHER PHYSICIANS, OTHER QUALIFIED HEALTH CARE PROFESSIONALS, OR AGENCIES ARE PROVIDED CONSISTENT WITH THE NATURE OF THE PROBLEM(S) AND THE PATIENT'S AND/OR FAMILY'S NEEDS. USUALLY, THE PRESENTING PROBLEM(S) ARE OF LOW TO MODERATE SEVERITY. TYPICALLY, 15 MINUTES ARE SPENT FACE-TO-FACE WITH THE PATIENT AND/OR FAMILY."
D_2768_LAST_EXP_DT,49,8.762835926915e-4,7.88199614972039e-5,6.91085003455425e-4,NA,NA,HYPOPOTASSEMIA
G_661000_FIRST_EXP_DT,1557.5,8.667769316759134e-4,7.536871028888759e-5,6.91085003455425e-4,NA,NA,NONSTEROIDAL ANTI-INFLAMMATORY AGENTS (NSAIDS)***
D_2768_LAST_EXP_DT,1.5,8.61186022745565e-4,6.397984772160787e-5,0.00138217000691085,NA,NA,HYPOPOTASSEMIA
AGE,30.5,8.562926094353931e-4,3.666207877334747e-5,6.91085003455425e-4,653,0.653,Age
AGE,38.5,8.53002122775355e-4,8.464657048472739e-5,6.91085003455425e-4,653,0.653,Age
G_492700_FIRST_EXP_DT,890.5,8.447722581356148e-4,9.708128760762085e-5,6.91085003455425e-4,NA,NA,PROTON PUMP INHIBITORS***
P_99214_FIRST_EXP_DT,2239.5,8.373442216199059e-4,6.24602093076122e-4,0.00138217000691085,NA,NA,"OFFICE OR OTHER OUTPATIENT VISIT FOR THE EVALUATION AND MANAGEMENT OF AN ESTABLISHED PATIENT, WHICH REQUIRES AT LEAST 2 OF THESE 3 KEY COMPONENTS: A DETAILED HISTORY; A DETAILED EXAMINATION; MEDICAL DECISION MAKING OF MODERATE COMPLEXITY. COUNSELING AND/OR COORDINATION OF CARE WITH OTHER PHYSICIANS, OTHER QUALIFIED HEALTH CARE PROFESSIONALS, OR AGENCIES ARE PROVIDED CONSISTENT WITH THE NATURE OF THE PROBLEM(S) AND THE PATIENT'S AND/OR FAMILY'S NEEDS. USUALLY, THE PRESENTING PROBLEM(S) ARE OF MODERATE TO HIGH SEVERITY. TYPICALLY, 25 MINUTES ARE SPENT FACE-TO-FACE WITH THE PATIENT AND/OR FAMILY."
P_99213_FIRST_EXP_DT,2371,8.304283628503935e-4,8.224168447067258e-5,6.91085003455425e-4,NA,NA,"OFFICE OR OTHER OUTPATIENT VISIT FOR THE EVALUATION AND MANAGEMENT OF AN ESTABLISHED PATIENT, WHICH REQUIRES AT LEAST 2 OF THESE 3 KEY COMPONENTS: AN EXPANDED PROBLEM FOCUSED HISTORY; AN EXPANDED PROBLEM FOCUSED EXAMINATION; MEDICAL DECISION MAKING OF LOW COMPLEXITY. COUNSELING AND COORDINATION OF CARE WITH OTHER PHYSICIANS, OTHER QUALIFIED HEALTH CARE PROFESSIONALS, OR AGENCIES ARE PROVIDED CONSISTENT WITH THE NATURE OF THE PROBLEM(S) AND THE PATIENT'S AND/OR FAMILY'S NEEDS. USUALLY, THE PRESENTING PROBLEM(S) ARE OF LOW TO MODERATE SEVERITY. TYPICALLY, 15 MINUTES ARE SPENT FACE-TO-FACE WITH THE PATIENT AND/OR FAMILY."
D_4010_FIRST_EXP_DT,2.5,8.205204229738268e-4,0.00012692456429920453,6.91085003455425e-4,NA,NA,MALIGNANT ESSENTIAL HYPERTENSION
P_G8553_FIRST_EXP_DT,1200.5,7.954514381314972e-4,1.0147944048229091e-4,6.91085003455425e-4,NA,NA,PRESCRIPTION(S) GENERATED AND TRANSMITTED VIA A QUALIFIED ERX SYSTEM
D_V068_LAST_EXP_DT,699,7.936566272260219e-4,3.63712367609387e-4,6.91085003455425e-4,NA,NA,(blank)
D_7291_LAST_EXP_DT,726.5,7.822603075741829e-4,3.4141966038345975e-4,6.91085003455425e-4,NA,NA,"MYALGIA AND MYOSITIS, UNSPECIFIED"
G_375000_FIRST_EXP_DT,262,7.796118670917132e-4,1.0840592071368698e-4,6.91085003455425e-4,NA,NA,POTASSIUM SPARING DIURETICS***
G_659917_LAST_EXP_DT,1446.5,7.779486756526395e-4,4.325551159801499e-5,0.00138217000691085,NA,NA,HYDROCODONE COMBINATIONS***
G_372000_LAST_EXP_DT,805,7.673911017800422e-4,8.021045273668186e-5,6.91085003455425e-4,NA,NA,LOOP DIURETICS***
D_4019_LAST_EXP_DT,291,7.56323101196278e-4,8.608590542094576e-5,6.91085003455425e-4,NA,NA,UNSPECIFIED ESSENTIAL HYPERTENSION
