,pos,smote,pos-smote
AGE,0.0,0.0,0.0
GENDER,0.432,0.5497777777777778,-0.11777777777777781
D_7373_AVG_CLAIM_CNT,0.969,0.9721111111111111,-0.0031111111111111756
D_7803_AVG_CLAIM_CNT,0.904,0.9074444444444445,-0.003444444444444472
D_7809_AVG_CLAIM_CNT,0.819,0.8372222222222222,-0.01822222222222225
D_7840_AVG_CLAIM_CNT,0.74,0.7671111111111111,-0.027111111111111086
D_7865_AVG_CLAIM_CNT,0.588,0.6124444444444445,-0.02444444444444449
D_7931_AVG_CLAIM_CNT,0.911,0.9202222222222223,-0.009222222222222243
D_4659_AVG_CLAIM_CNT,0.822,0.8325555555555556,-0.010555555555555651
D_7194_AVG_CLAIM_CNT,0.535,0.48966666666666664,0.04533333333333339
D_7245_AVG_CLAIM_CNT,0.824,0.8377777777777777,-0.013777777777777778
D_V048_AVG_CLAIM_CNT,0.742,0.756,-0.014000000000000012
D_V761_AVG_CLAIM_CNT,0.869,0.8734444444444445,-0.004444444444444473
D_2420_AVG_CLAIM_CNT,0.975,0.9772222222222222,-0.0022222222222222365
D_2429_AVG_CLAIM_CNT,0.933,0.9235555555555556,0.009444444444444478
D_2449_AVG_CLAIM_CNT,0.817,0.8262222222222222,-0.009222222222222243
D_2724_AVG_CLAIM_CNT,0.738,0.7307777777777777,0.007222222222222241
D_4011_AVG_CLAIM_CNT,0.722,0.7146666666666667,0.007333333333333303
D_4019_AVG_CLAIM_CNT,0.591,0.589,0.0020000000000000018
D_5308_AVG_CLAIM_CNT,0.774,0.7968888888888889,-0.022888888888888848
D_7295_AVG_CLAIM_CNT,0.666,0.6807777777777778,-0.014777777777777779
D_7298_AVG_CLAIM_CNT,0.821,0.836,-0.015000000000000013
D_V588_AVG_CLAIM_CNT,0.888,0.8952222222222223,-0.007222222222222241
D_7225_AVG_CLAIM_CNT,0.868,0.8512222222222222,0.01677777777777778
D_7242_AVG_CLAIM_CNT,0.725,0.7251111111111112,-0.00011111111111117289
D_7862_AVG_CLAIM_CNT,0.748,0.7547777777777778,-0.0067777777777777715
D_3000_AVG_CLAIM_CNT,0.758,0.7503333333333333,0.0076666666666667105
D_496__AVG_CLAIM_CNT,0.901,0.9068888888888889,-0.0058888888888888324
D_5188_AVG_CLAIM_CNT,0.907,0.9094444444444445,-0.0024444444444444713
D_5990_AVG_CLAIM_CNT,0.79,0.8018888888888889,-0.011888888888888838
D_7291_AVG_CLAIM_CNT,0.793,0.7928888888888889,0.00011111111111117289
D_7806_AVG_CLAIM_CNT,0.862,0.8808888888888889,-0.018888888888888955
D_7807_AVG_CLAIM_CNT,0.468,0.40344444444444444,0.06455555555555559
D_7860_AVG_CLAIM_CNT,0.65,0.6387777777777778,0.011222222222222245
D_7879_AVG_CLAIM_CNT,0.814,0.8316666666666667,-0.01766666666666672
D_7890_AVG_CLAIM_CNT,0.59,0.6186666666666667,-0.02866666666666673
D_V723_AVG_CLAIM_CNT,0.848,0.8481111111111111,-0.00011111111111117289
D_2689_AVG_CLAIM_CNT,0.874,0.8847777777777778,-0.010777777777777775
D_7288_AVG_CLAIM_CNT,0.653,0.6276666666666667,0.02533333333333332
D_V586_AVG_CLAIM_CNT,0.778,0.7927777777777778,-0.014777777777777779
D_2500_AVG_CLAIM_CNT,0.807,0.8132222222222222,-0.006222222222222129
D_2720_AVG_CLAIM_CNT,0.887,0.8893333333333333,-0.0023333333333332984
D_2859_AVG_CLAIM_CNT,0.852,0.8604444444444445,-0.008444444444444477
D_4010_AVG_CLAIM_CNT,0.949,0.9531111111111111,-0.0041111111111111764
